num_elements,avg_update_time_us,true_cardinality,est_cardinality,abs_error,rel_error,mem_usage_mb
10000,4.1250900001614355,9944,9763,181,0.018201930812550282,0.037532806396484375
20000,4.127834999962943,19805,18919,886,0.04473617773289573,0.037830352783203125
30000,4.0975633334407275,29547,29655,108,0.003655193420651843,0.037433624267578125
40000,4.07625250009005,39175,37838,1337,0.03412890874282068,0.036945343017578125
50000,4.066355999966618,48749,47609,1140,0.023385095078873413,0.037586212158203125
70000,4.173327142780181,67607,71409,3802,0.056236780215066486,0.037281036376953125
100000,4.1172650000225985,95169,96083,914,0.009603967678550788,0.037647247314453125
150000,4.080459999968298,139336,138733,603,0.004327668369983349,0.0371856689453125
200000,4.10279649997392,181370,196960,15590,0.08595688371836577,0.037494659423828125
250000,4.079954000015277,221327,212735,8592,0.038820387932787234,0.037342071533203125
300000,4.09881033335599,259313,261697,2384,0.009193522885470455,0.037586212158203125
350000,4.10499000000917,295442,322581,27139,0.09185897739657868,0.037220001220703125
400000,4.103284500015434,329679,338906,9227,0.027987830586722235,0.037464141845703125
450000,4.132386222223027,362683,360710,1973,0.005440012352384865,0.037158966064453125
500000,4.259696799999801,393508,395370,1862,0.004731797066387469,0.037677764892578125
