stream_size,avg_insert_time_s,second_moment_real,second_moment_estimate,error_abs,error_rel,mem_usage_mb
100,1.288000e-05,204,287.20,83.20,0.4078,0.0023
200,1.292600e-05,598,1176.00,578.00,0.9666,0.0047
300,1.273600e-05,1200,882.40,317.60,0.2647,0.0046
400,1.448425e-05,2014,2088.00,74.00,0.0367,0.0047
500,1.157520e-05,3030,3910.40,880.40,0.2906,0.0046
600,1.294200e-05,4252,1179.20,3072.80,0.7227,0.0046
700,1.183300e-05,5544,400.80,5143.20,0.9277,0.0046
800,1.749775e-05,7202,5348.80,1853.20,0.2573,0.0047
900,1.262567e-05,8988,11366.40,2378.40,0.2646,0.0046
1000,1.438560e-05,10830,19662.40,8832.40,0.8155,0.0047
